tick,side,enemy_cohesion_v2,enemy_cohesion_v1,theta,collapse_margin_v2,collapse_event_v2,frag,disp,out,elong,exploitability
78,B,0.10263228439719563,1.0,0.4444444444444444,0.7690773601063098,True,0.21999999999999997,0.4268227384989157,0.03,0.7633379045980746,0.8973677156028044
79,A,0.10907483209326818,1.0,0.4444444444444444,0.7545816277901466,True,0.5800000000000001,0.35004386848029434,0.0,0.6004315236364925,0.8909251679067318
79,B,0.09804187779751994,1.0,0.4444444444444444,0.7794057749555802,True,0.25,0.4301790293241138,0.03,0.76349507178884,0.9019581222024801
80,A,0.11645964768343953,1.0,0.4444444444444444,0.737965792712261,True,0.54,0.35467654520798453,0.0,0.6076802334427647,0.8835403523165605
80,B,0.09531978602392488,1.0,0.4444444444444444,0.785530481446169,True,0.27,0.4341693291532438,0.03,0.7620958709529246,0.9046802139760751
81,A,0.10851897610265226,1.0,0.4444444444444444,0.7558323037690324,True,0.55,0.37151196865142355,0.0,0.6162961453527409,0.8914810238973477
81,B,0.09803829745930115,1.0,0.4444444444444444,0.7794138307165724,True,0.25,0.42791087719805077,0.03,0.7644413414543074,0.9019617025406989
82,A,0.11179748095791497,1.0,0.4444444444444444,0.7484556678446913,True,0.53,0.36746045486817425,0.0,0.6239492335424687,0.888202519042085
82,B,0.08367609441455026,1.0,0.4444444444444444,0.8117287875672619,True,0.35,0.4253078613741744,0.03,0.7690696285957925,0.9163239055854497
83,A,0.10714535198595299,1.0,0.4444444444444444,0.7589229580316058,True,0.55,0.36121272896270096,0.0,0.6272612292283704,0.892854648014047
83,B,0.07412513114409502,1.0,0.4444444444444444,0.8332184549257862,True,0.4,0.4325984399975066,0.03,0.7755332778988775,0.925874868855905
84,A,0.05798504143157279,1.0,0.4444444444444444,0.8695336567789612,True,0.75,0.3683545492051107,0.0,0.6328000693515521,0.9420149585684272
84,B,0.08221088606965654,1.0,0.4444444444444444,0.8150255063432728,True,0.32999999999999996,0.4343331293996645,0.03,0.7763741275520071,0.9177891139303435
85,A,0.08456657211002516,1.0,0.4444444444444444,0.8097252127524434,True,0.63,0.37169957128425113,0.0,0.6362276825638287,0.9154334278899748
85,B,0.08672850415640088,1.0,0.4444444444444444,0.804860865648098,True,0.26,0.4347568016113381,0.04,0.784015016260299,0.9132714958435991
86,A,0.09337373564796558,1.0,0.4444444444444444,0.7899090947920774,True,0.5800000000000001,0.3801012526102169,0.0,0.641363336923068,0.9066262643520344
86,B,0.0798535722368725,1.0,0.4444444444444444,0.8203294624670369,True,0.31999999999999995,0.4366680552992577,0.03,0.7850936130952489,0.9201464277631275
87,A,0.11936683348012389,1.0,0.4444444444444444,0.7314246246697212,True,0.45999999999999996,0.3762404570283341,0.0,0.645617138654502,0.8806331665198761
87,B,0.07760451595117679,1.0,0.4444444444444444,0.8253898391098522,True,0.31999999999999995,0.44245142066242893,0.03,0.7889799926259757,0.9223954840488232
88,A,0.11091760415314633,1.0,0.4444444444444444,0.7504353906554208,True,0.49,0.3758051161538235,0.0,0.6515743656862483,0.8890823958468537
88,B,0.08052763845584121,1.0,0.4444444444444444,0.8188128134743573,True,0.29000000000000004,0.44064358503690837,0.03,0.7909615112022157,0.9194723615441588
89,A,0.06697026148958152,1.0,0.4444444444444444,0.8493169116484416,True,0.6799999999999999,0.37894105869360106,0.0,0.6630238239309192,0.9330297385104185
89,B,0.08361948012384024,1.0,0.4444444444444444,0.8118561697213594,True,0.25,0.45061371533638284,0.03,0.7907831532052432,0.9163805198761598
90,A,0.08742904309048949,1.0,0.4444444444444444,0.8032846530463986,True,0.5800000000000001,0.3755491921741666,0.0,0.6666440563421472,0.9125709569095105
90,B,0.07341363365437803,1.0,0.4444444444444444,0.8348193242776494,True,0.33999999999999997,0.4509799273120012,0.03,0.7911315578659052,0.926586366345622
91,A,0.08972750804134721,1.0,0.4444444444444444,0.7981131069069688,True,0.56,0.38968298616090313,0.0,0.6658684748821564,0.9102724919586528
91,B,0.08473549530634872,1.0,0.4444444444444444,0.8093451355607154,True,0.22999999999999998,0.4530815661067741,0.03,0.7925658044588048,0.9152645046936513
