origin_a,origin_b,aspect_ratio,fleet_size,min_separation,attack_range,first_contact_tick,frontcurve_diff_t1_20,frontcurve_diff_t21_50,frontcurve_diff_t51_120,cws_diff_t1_20,cws_diff_t21_50,cws_diff_t51_120,remaining_a,remaining_b,remaining_gap_pct_initial,end_tick
10.0,190.0,2.0,125,2.0,5.0,113,0.1781369752105548,0.22598270163238582,0.18382585832147033,0.004586343564569856,0.004223483909967682,0.0013976449648918227,125,125,0.0,120
10.0,190.0,2.0,125,2.0,7.0,112,0.1781369752105548,0.22598270163238582,0.18415568592473167,0.004586343564569856,0.004223483909967682,0.001392641535559659,124,124,0.0,120
10.0,190.0,2.0,125,3.0,3.0,115,0.05298022095157602,0.09316889924448413,0.09150618715226175,0.00628717362754426,0.00869151255281579,0.0024660544064587443,125,125,0.0,120
10.0,190.0,2.0,125,3.0,5.0,111,0.05298022095157602,0.09316889924448413,0.09150618715226175,0.00628717362754426,0.00869151255281579,0.0024660544064587443,125,125,0.0,120
10.0,190.0,2.0,125,3.0,7.0,110,0.05298022095157602,0.09316889924448413,0.09139125362456299,0.00628717362754426,0.00869151255281579,0.0024103729220386065,124,124,0.0,120
10.0,190.0,2.0,150,1.0,3.0,119,0.14883450274496726,0.213304803810631,0.3748111877166875,0.0033786124956739433,0.0016623217853472946,0.001626890806732061,150,150,0.0,120
10.0,190.0,2.0,150,1.0,5.0,118,0.14883450274496726,0.213304803810631,0.3748111877166875,0.0033786124956739433,0.0016623217853472946,0.001626890806732061,150,150,0.0,120
10.0,190.0,2.0,150,1.0,7.0,117,0.14883450274496726,0.213304803810631,0.3748111877166875,0.0033786124956739433,0.0016623217853472946,0.001626890806732061,150,150,0.0,120
10.0,190.0,2.0,150,2.0,3.0,114,0.05321447556207939,0.10277084589000454,0.13442255123324526,0.0034799318346080653,0.004131848833495384,0.003101418420115029,150,150,0.0,120
10.0,190.0,2.0,150,2.0,5.0,113,0.05321447556207939,0.10277084589000454,0.13442255123324526,0.0034799318346080653,0.004131848833495384,0.003101418420115029,150,150,0.0,120
10.0,190.0,2.0,150,2.0,7.0,112,0.05321447556207939,0.10277084589000454,0.13746467436213658,0.0034799318346080653,0.004131848833495384,0.003071095381064861,149,149,0.0,120
10.0,190.0,2.0,150,3.0,3.0,114,0.08398898331623932,0.1457380508240953,0.14032553985918414,0.0033197431353227465,0.002764502688150192,0.002732963079700832,150,150,0.0,120
10.0,190.0,2.0,150,3.0,5.0,112,0.08398898331623932,0.1457380508240953,0.14032553985918414,0.0033197431353227465,0.002764502688150192,0.002732963079700832,150,150,0.0,120
10.0,190.0,2.0,150,3.0,7.0,111,0.08398898331623932,0.1457380508240953,0.14104523177563688,0.0033197431353227465,0.002764502688150192,0.0027465137175627114,149,149,0.0,120
10.0,190.0,2.5,50,1.0,3.0,,0.21710063713528568,0.2713398420929927,0.7623420618492386,0.007918050858886102,0.0023595329804529876,0.0018780288624813866,50,50,0.0,120
10.0,190.0,2.5,50,1.0,5.0,,0.21710063713528568,0.2713398420929927,0.7623420618492386,0.007918050858886102,0.0023595329804529876,0.0018780288624813866,50,50,0.0,120
10.0,190.0,2.5,50,1.0,7.0,120,0.21710063713528568,0.2713398420929927,0.7623420618492386,0.007918050858886102,0.0023595329804529876,0.0018780288624813866,50,50,0.0,120
10.0,190.0,2.5,50,2.0,3.0,116,0.1528526052800504,0.14588249587270435,0.6063877337983716,0.008598487238858468,0.003659235876090439,0.0026099492233614386,50,50,0.0,120
10.0,190.0,2.5,50,2.0,5.0,115,0.1528526052800504,0.14588249587270435,0.6063877337983716,0.008598487238858468,0.003659235876090439,0.0026099492233614386,50,50,0.0,120
10.0,190.0,2.5,50,2.0,7.0,114,0.1528526052800504,0.14588249587270435,0.6063877337983716,0.008598487238858468,0.003659235876090439,0.0026099492233614386,50,50,0.0,120
10.0,190.0,2.5,50,3.0,3.0,117,0.06078667483554878,0.1457580940824906,0.151593142440365,0.006710084702796937,0.003204554476617373,0.0034580390841242575,50,50,0.0,120
10.0,190.0,2.5,50,3.0,5.0,114,0.06078667483554878,0.1457580940824906,0.151593142440365,0.006710084702796937,0.003204554476617373,0.0034580390841242575,50,50,0.0,120
10.0,190.0,2.5,50,3.0,7.0,113,0.06078667483554878,0.1457580940824906,0.151593142440365,0.006710084702796937,0.003204554476617373,0.0034580390841242575,50,50,0.0,120
10.0,190.0,2.5,75,1.0,3.0,,0.11385287538263181,0.21243154341894852,0.6297734961725473,0.004148869528508187,0.0035851172819805965,0.00211231588215368,75,75,0.0,120
10.0,190.0,2.5,75,1.0,5.0,120,0.11385287538263181,0.21243154341894852,0.6297734961725473,0.004148869528508187,0.0035851172819805965,0.00211231588215368,75,75,0.0,120
10.0,190.0,2.5,75,1.0,7.0,119,0.11385287538263181,0.21243154341894852,0.6297734961725473,0.004148869528508187,0.0035851172819805965,0.00211231588215368,75,75,0.0,120
