tick,unit_id,expected_x,expected_y,actual_x,actual_y,actual_rel_forward,actual_rel_lateral,offset_forward_local,offset_lateral_local,delta_forward,delta_lateral,centroid_x,centroid_y,primary_axis_x,primary_axis_y,secondary_axis_x,secondary_axis_y
14,A16,48.471282,64.015614,47.842651,63.092501,-5.097253,10.791792,-4.000000,11.000000,-1.097253,-0.208208,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A17,47.057040,65.429799,47.170758,65.118142,-4.139970,12.699217,-4.000000,13.000000,-0.139970,-0.300783,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A18,45.642797,66.843984,45.374905,66.072607,-4.734881,14.643998,-4.000000,15.000000,-0.734881,-0.356002,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A19,44.228555,68.258168,45.007202,68.031746,-3.609532,16.289301,-4.000000,17.000000,0.390468,-0.710699,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A20,42.814312,69.672353,42.926183,70.197854,-3.549304,19.292471,-4.000000,19.000000,0.450696,0.292471,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A21,71.099104,44.217087,71.545148,44.371572,-1.575366,-19.206172,-2.000000,-19.000000,0.424634,-0.206172,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A22,69.684862,45.631272,69.993340,45.460492,-1.902640,-17.338889,-2.000000,-17.000000,0.097360,-0.338889,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A23,68.270619,47.045457,68.725583,47.002811,-1.708455,-15.351869,-2.000000,-15.000000,0.291545,-0.351869,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A24,66.856377,48.459641,66.660106,48.422330,-2.165164,-12.887595,-2.000000,-13.000000,-0.165164,0.112405,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A25,65.442134,49.873826,65.104256,49.655906,-2.393007,-10.915169,-2.000000,-11.000000,-0.393007,0.084831,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A26,64.027892,51.288010,63.594955,50.769777,-2.672580,-9.060300,-2.000000,-9.000000,-0.672580,-0.060300,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A27,62.613649,52.702195,62.114408,52.638417,-2.398109,-6.692073,-2.000000,-7.000000,-0.398109,0.307927,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A28,61.199407,54.116380,61.871841,54.638935,-1.155017,-5.105997,-2.000000,-5.000000,0.844983,-0.105997,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A29,59.785164,55.530564,59.770829,55.214744,-2.233460,-3.213178,-2.000000,-3.000000,-0.233460,-0.213178,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A30,58.370922,56.944749,58.086542,56.293250,-2.661771,-1.259579,-2.000000,-1.000000,-0.661771,-0.259579,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A31,56.956679,58.358934,56.601971,58.385935,-2.231718,1.269914,-2.000000,1.000000,-0.231718,0.269914,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A32,55.542437,59.773118,55.230680,59.785977,-2.211349,3.229542,-2.000000,3.000000,-0.211349,0.229542,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A33,54.128194,61.187303,54.626626,61.450293,-1.461597,4.833507,-2.000000,5.000000,0.538403,-0.166493,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A34,52.713952,62.601488,52.201594,62.173483,-2.664935,7.059660,-2.000000,7.000000,-0.664935,0.059660,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A35,51.299709,64.015672,51.066704,63.797199,-2.319243,9.010282,-2.000000,9.000000,-0.319243,0.010282,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A36,49.885467,65.429857,49.543143,65.007202,-2.540923,10.943208,-2.000000,11.000000,-0.540923,-0.056792,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A37,48.471224,66.844041,48.510426,66.719946,-2.060031,12.884533,-2.000000,13.000000,-0.060031,-0.115467,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A38,47.056982,68.258226,46.841600,68.776969,-1.785481,15.519101,-2.000000,15.000000,0.214519,0.519101,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A39,45.642739,69.672411,45.403644,70.020005,-1.923271,17.414851,-2.000000,17.000000,0.076729,0.414851,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A40,44.228497,71.086595,44.312386,71.692652,-1.512127,19.369219,-2.000000,19.000000,0.487873,0.369219,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A41,72.513289,45.631330,73.006244,45.952695,0.575809,-19.121345,-0.000000,-19.000000,0.575809,-0.121345,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A42,71.099046,47.045514,71.220786,47.208466,0.201308,-16.970863,-0.000000,-17.000000,0.201308,0.029137,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A43,69.684804,48.459699,70.035394,48.760537,0.460629,-15.035189,-0.000000,-15.000000,0.460629,-0.035189,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A44,68.270561,49.873884,68.389099,49.391044,-0.257609,-13.425233,-0.000000,-13.000000,-0.257609,-0.425233,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A45,66.856319,51.288068,66.831974,50.538421,-0.547305,-11.512855,-0.000000,-11.000000,-0.547305,-0.512855,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A46,65.442076,52.702253,65.135364,52.462115,-0.386681,-8.952917,-0.000000,-9.000000,-0.386681,0.047083,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A47,64.027834,54.116438,63.814310,53.937432,-0.277559,-6.975586,-0.000000,-7.000000,-0.277559,0.024414,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A48,62.613591,55.530622,63.052171,56.149381,0.747654,-4.872610,-0.000000,-5.000000,0.747654,0.127390,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A49,61.199349,56.944807,61.096223,56.754900,-0.207207,-3.061360,-0.000000,-3.000000,-0.207207,-0.061360,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A50,59.785106,58.358992,59.641082,58.028361,-0.335634,-1.131944,-0.000000,-1.000000,-0.335634,-0.131944,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A51,58.370864,59.773176,58.424301,59.615637,-0.073614,0.850819,-0.000000,1.000000,-0.073614,-0.149181,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A52,56.956621,61.187361,56.643256,61.225271,-0.194771,3.248393,-0.000000,3.000000,-0.194771,0.248393,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A53,55.542379,62.601545,56.176513,63.233551,0.895296,4.998476,-0.000000,5.000000,0.895296,-0.001524,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
